barcode,desc_short,CLIR_status,json_status,old_json,old_json_src,bibliocommons,call_number,publisher,publisher_full,geo_extent,geo_extent_discrete,year,title,bibliocommons_control
39999059011633,dorchester 1918,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1918-dorchester.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1918-dorchester.geojson,https://bpl.bibliocommons.com/item/show/2788594075_atlas_of_the_city_of_boston,G1234_B6_2D6_B7_1918x,Bromley,Philadelphia : G.W. Bromley & Co.,Dorchester,Dorchester,1918,Atlas of the City of Boston,2788594075
39999085952040,dorchester 1933,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1933-dorchester.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1933-dorchester.geojson,https://bpl.bibliocommons.com/item/show/2788604075_atlas_of_the_city_of_boston,G1234_B6_2D6_B7_1933x,Bromley ,Philadelphia : G.W. Bromley and Co.,Dorchester,Dorchester,1933,Atlas of the City of Boston,2788604075
39999059010692,east boston 1874,pending,old index,https://apps.bpl.org/nblmc/indexes/index-hopkins-1874-vol4.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-hopkins-1874-vol4.geojson,"https://bpl.bibliocommons.com/item/show/2887551075_atlas_of_the_county_of_suffolk,_massachusetts",G1233_S8_H6_1874v4,Hopkins,Philadelphia : G.M. Hopkins & Co.,"East Boston, Chelsea, Revere","East Boston,Chelsea,Revere,Winthrop",1874,"Atlas of the County of Suffolk, Massachusetts",2887551075
39999059011856,east boston 1901,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1901-eastboston.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1901-eastboston.geojson,https://bpl.bibliocommons.com/item/show/2788565075_atlas_of_the_city_of_boston,G1234_B6_2E2_B7_1901x,Bromley,Philadelphia : G.W. Bromley and Co.,East Boston,East Boston,1901,Atlas of the City of Boston,2788565075
39999059010981,roxbury 1888,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1888-roxburyv3.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1888-roxburyv3.geojson,"https://bpl.bibliocommons.com/item/show/411786075_atlas_of_the_city_of_boston,_mass",G1234_B6_B7_1888_v3,Bromley,Philadelphia : G.W. Bromley & Co.,"Fenway/Kenmore, Mission Hill",Roxbury,1888,"Atlas of the City of Boston, Mass",411786075
39999059011369,roxbury 1906,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1906-roxbury.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1906-roxbury.geojson,https://bpl.bibliocommons.com/item/show/2788567075_atlas_of_the_city_of_boston,G1234_B6_2R7_B7_1906,Bromley,Philadelphia : G.W. Bromley & Co.,Roxbury,Roxbury,1906,"Atlas of the City of Boston, Mass",411786075
39999059012060,south boston 1868,pending,old index,https://apps.bpl.org/nblmc/indexes/index-sanborn-1868-bostonvol2.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-sanborn-1868-bostonvol2.geojson,https://bpl.bibliocommons.com/item/show/2775215075_insurance_map_of_boston,G1234_B6G475_S2_1867v2,Sanborn,New York : [D.A. Sanborn],"South End, east Back Bay, west Southie, west/southwest East Boston (Boston v2)","Boston proper,South Boston",1868,Insurance Map of Boston,2775215075
39999059011393,south boston 1899,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1899-southboston.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1899-southboston.geojson,https://bpl.bibliocommons.com/item/show/438115075_atlas_of_the_city_of_boston,G1234_B6_2S5_B7_1899,Bromley,Philadelphia : G.W. Bromley.,South Boston,South Boston,1899,Atlas of the City of Boston,438115075
39999059011278,west roxbury 1896,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1896-westroxbury.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1896-westroxbury.geojson,https://bpl.bibliocommons.com/item/show/2788479075_atlas_of_the_city_of_boston,G1234_B6_B7_1896,Bromley,Philadelphia : G.W. Bromley & Co.,West Roxbury,West Roxbury,1896,Atlas of the City of Boston,2788479075
39999059011898,west roxbury 1905,pending,old index,https://apps.bpl.org/nblmc/indexes/index-bromley-1905-westroxbury.html,https://raw.githubusercontent.com/nblmc/boston-atlas-footprints/master/index/index-bromley-1905-westroxbury.geojson,https://bpl.bibliocommons.com/item/show/2788767075_atlas_of_the_city_of_boston,G1234_B6_B7_1905x,Bromley,Philadelphia : G.W. Bromley & Co.,West Roxbury,West Roxbury,1905,Atlas of the City of Boston,2788767075
